,Date,PortfolioValue,CashAlloc,BTCAlloc,BTCPrice,BTCSignal,SPYAlloc,SPYPrice,SPYSignal,TLTAlloc,TLTPrice,TLTSignal,merge_date,Returns,CumMax,Drawdown,InDrawdown,DrawdownStart,BTCEntry,BTCSold,BTCRealizedPnl,SPYEntry,SPYSold,SPYRealizedPnl,TLTEntry,TLTSold,TLTRealizedPnl,BTCProfitPerTrade,SPYProfitPerTrade,TLTProfitPerTrade,BTCTraded,SPYTraded,TLTTraded
558,2025-03-12 14:30:00,1068032.2697153003,613640.9304010215,0.422863069049273,81422.27,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,-0.00010145793837412764,1070222.3552573381,-0.0020463836615627765,True,False,81550.41,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
559,2025-03-12 15:00:00,1067987.2030443298,312160.62654908723,4.112364201442453,81672.17,0.5,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,-4.219598250765344e-05,1070222.3552573381,-0.0020884932949012513,True,False,81648.869407846,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1,0,0
560,2025-03-12 15:30:00,1070980.7574411277,312160.62654908723,4.112364201442453,82400.11,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.0028029871409176454,1070980.7574411277,0.0,False,False,82036.14,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
561,2025-03-12 16:00:00,1071247.5618629265,481681.25868073455,2.0561821007212266,82485.61,-0.5,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00024912158313306065,1071247.5618629265,0.0,False,False,82428.61,2.0561821007212266,117.20237974110992,,0.0,,0.0,0.0,0.0,117.20237974110992,,0.0,1,0,0
562,2025-03-12 16:30:00,1071739.6547552457,566708.7550435854,1.0280910503606133,82745.62,-0.5,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00045936430554238683,1071739.6547552457,0.0,False,False,82572.28,1.0280910503606133,178.20930266950512,,0.0,,0.0,0.0,0.0,178.20930266950512,,0.0,1,0,0
563,2025-03-12 17:00:00,1071245.0812745593,566708.7550435854,1.0280910503606133,82264.56,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,-0.00046146793066026426,1071739.6547552457,-0.0004614679306602236,True,True,82505.08999999998,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
564,2025-03-12 17:30:00,1071648.915439141,566708.7550435854,1.0280910503606133,82657.36,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.0003769764469780945,1071739.6547552457,-8.46654462229455e-05,True,False,82460.96,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
565,2025-03-12 18:00:00,1071251.7330236551,566708.7550435854,1.0280910503606133,82271.03,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,-0.00037062736663440177,1071739.6547552457,-0.0004552614335259932,True,False,82464.19499999999,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
566,2025-03-12 18:30:00,1071470.1715291252,566708.7550435854,1.0280910503606133,82483.5,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00020390959354954497,1071739.6547552457,-0.00025144467215035927,True,False,82377.265,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
567,2025-03-12 19:00:00,1071734.1339063053,566708.7550435854,1.0280910503606133,82740.25,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00024635532018901785,1071739.6547552457,-5.151296693990697e-06,True,False,82611.875,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
568,2025-03-12 19:30:00,1071983.2403678077,566708.7550435854,1.0280910503606133,82982.55,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00023243307609743802,1071983.2403678077,0.0,False,False,82861.4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
569,2025-03-12 20:00:00,1072388.0923425292,566708.7550435854,1.0280910503606133,83376.34,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.00037766632861035987,1072388.0923425292,0.0,False,False,83179.44499999999,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
570,2025-03-12 20:30:00,1073074.1169386138,566708.7550435854,1.0280910503606133,84043.62,0.0,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,0.0006397167228759937,1073074.1169386138,0.0,False,False,83709.97999999998,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
571,2025-03-12 21:00:00,1072314.9010036578,609520.685520274,0.5140455251803067,83325.98,-0.5,0.0,0.0,,4645.5848266938065,0.0,,2025-03-12,-0.0007075149078443754,1073074.1169386138,-0.0007075149078443501,True,True,83804.40666666666,0.5140455251803067,-245.93308712693,,0.0,,0.0,0.0,0.0,-245.93308712693,,0.0,1,0,0
572,2025-03-12 21:30:00,1069916.1502128786,315483.4917701736,4.069848515654034,82650.86,0.5,0.0,559.24,0.0,4645.5848266938065,89.99,0.0,2025-03-12,-0.002236983547029059,1073074.1169386138,-0.0029429157556652547,True,False,82726.56908312195,0.0,-0.0,,0.0,,44.995,0.0,0.0,-0.0,,0.0,1,0,0
573,2025-03-12 22:00:00,1069335.6028469903,109623.87363403238,4.069848515654034,82477.73,0.0,0.0,559.097,0.0,6931.4657580578005,90.03,0.7,2025-03-12,-0.0005426101529290017,1073074.1169386138,-0.0034839290526260513,True,False,82564.295,0.0,-0.0,,0.0,,90.01394898668643,0.0,0.0,-0.0,,0.0,0,0,1
574,2025-03-12 22:30:00,1066689.0728297224,109623.87363403238,4.069848515654034,81520.89,0.0,0.0,555.7,0.0,6931.4657580578005,90.21,0.0,2025-03-12,-0.002474929302102913,1073074.1169386138,-0.005950235876630184,True,False,81999.31,0.0,-0.0,,0.0,,90.11999999999999,0.0,0.0,-0.0,,0.0,0,0,0
575,2025-03-12 23:00:00,1064917.650400909,274828.2785396981,2.034924257827017,81225.16,-0.5,0.0,557.02,0.0,6931.4657580578005,90.14,0.0,2025-03-12,-0.001660673643271049,1073074.1169386138,-0.007601028120009647,True,False,81422.31333333334,2.034924257827017,-401.1921005114601,,0.0,,90.175,0.0,-0.0,-401.1921005114601,,-0.0,1,0,0
576,2025-03-12 23:30:00,1064747.4235976264,357937.74751691206,1.0174621289135084,81723.97,-0.5,0.0,559.09,0.0,6931.4657580578005,89.975,0.0,2025-03-12,-0.0001598497341258609,1073074.1169386138,-0.007759662831811429,True,False,81391.43000000001,1.0174621289135084,338.34685634889155,,0.0,,90.0575,0.0,-0.0,338.34685634889155,,-0.0,1,0,0
577,2025-03-13 00:00:00,1064228.4901095198,399555.30938643817,0.5087310644567542,81847.53,-0.5,0.0,560.36,0.0,6931.4657580578005,89.885,0.0,2025-03-13,-0.00048737707798640617,1073074.1169386138,-0.008243258028000728,True,False,81765.15666666666,0.5087310644567542,41.90587354951938,,0.0,,89.93,0.0,-0.0,41.90587354951938,,-0.0,1,0,0
578,2025-03-13 00:30:00,1064777.0704285938,399555.30938643817,0.5087310644567542,81972.11,0.0,0.0,559.14,0.0,6931.4657580578005,89.955,0.0,2025-03-13,0.0005154723108544701,1073074.1169386138,-0.007732034888410861,True,False,81909.81999999999,0.0,0.0,,0.0,,89.92,0.0,0.0,0.0,,0.0,0,0,0
579,2025-03-13 01:00:00,1065626.252277665,399555.30938643817,0.5087310644567542,82755.7,0.0,0.0,561.31,0.0,6931.4657580578005,90.02,0.0,2025-03-13,0.0007975207887689351,1073074.1169386138,-0.006940680558204918,True,False,82363.905,0.0,0.0,,0.0,,89.9875,0.0,0.0,0.0,,0.0,0,0,0
580,2025-03-13 01:30:00,1066557.4498909554,399555.30938643817,0.5087310644567542,81833.88,0.0,0.0,557.98,0.0,6931.4657580578005,90.222,0.0,2025-03-13,0.0008738501057945491,1073074.1169386138,-0.00607289556685045,True,False,82294.79000000001,0.0,-0.0,,0.0,,90.121,0.0,0.0,-0.0,,0.0,0,0,0
581,2025-03-13 02:00:00,1064958.5932282854,399555.30938643817,0.5087310644567542,82533.3,0.0,0.0,560.3,0.0,6931.4657580578005,89.94,0.0,2025-03-13,-0.001499081613309583,1073074.1169386138,-0.007562873414076246,True,False,82183.59,0.0,0.0,,0.0,,90.081,0.0,-0.0,0.0,,-0.0,0,0,0
582,2025-03-13 02:30:00,1065177.9607320554,399555.30938643817,0.5087310644567542,82623.88,0.0,0.0,561.14,0.0,6931.4657580578005,89.965,0.0,2025-03-13,0.00020598688546646926,1073074.1169386138,-0.007358444381349444,True,False,82578.59,0.0,0.0,,0.0,,89.9525,0.0,0.0,0.0,,0.0,0,0,0
583,2025-03-13 03:00:00,1065041.7224028488,399555.30938643817,0.5087310644567542,82764.83,0.0,0.0,559.67,0.0,6931.4657580578005,89.935,0.0,2025-03-13,-0.00012790194148681877,1073074.1169386138,-0.007485405163513558,True,False,82694.355,0.0,0.0,,0.0,,89.95,0.0,-0.0,0.0,,-0.0,0,0,0
584,2025-03-13 03:30:00,1064595.7607454176,399555.30938643817,0.5087310644567542,82910.09,0.0,0.0,558.87,0.0,6931.4657580578005,89.86,0.0,2025-03-13,-0.0004187269362792012,1073074.1169386138,-0.007900997759021778,True,False,82837.45999999999,0.0,0.0,,0.0,,89.89750000000001,0.0,-0.0,0.0,,-0.0,0,0,0
585,2025-03-13 04:00:00,1064574.897684464,399555.30938643817,0.5087310644567542,82869.08,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-1.9597167040141805e-05,1073074.1169386138,-0.007920440088889058,True,False,82889.585,0.0,-0.0,,0.0,,44.93,0.0,-0.0,-0.0,,-0.0,0,0,0
586,2025-03-13 04:30:00,1064704.3137799513,399555.30938643817,0.5087310644567542,83123.47,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,0.00012156598447776723,1073074.1169386138,-0.007799836960508216,True,False,82996.27500000001,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
587,2025-03-13 05:00:00,1064714.7834652578,399555.30938643817,0.5087310644567542,83144.05,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,9.833420576033092e-06,1073074.1169386138,-0.007790080239009416,True,False,83133.76,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
588,2025-03-13 05:30:00,1064680.500078824,399555.30938643817,0.5087310644567542,83076.66,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-3.2199596517457074e-05,1073074.1169386138,-0.007822028998086317,True,False,83110.355,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
589,2025-03-13 06:00:00,1064896.9651467504,399555.30938643817,0.5087310644567542,83502.16,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,0.00020331457926614505,1073074.1169386138,-0.007620304751354987,True,False,83289.40999999999,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
590,2025-03-13 06:30:00,1064980.2037235168,399555.30938643817,0.5087310644567542,83665.78,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,7.81658503035132e-05,1073074.1169386138,-0.0075427345486519266,True,False,83583.97,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
591,2025-03-13 07:00:00,1064873.8484071814,399555.30938643817,0.5087310644567542,83456.72,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-9.986600310829541e-05,1073074.1169386138,-0.0076418472890083505,True,False,83561.24999999999,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
